Setting,Model,C1,C2,C3,C4,C5,Total
Zero-shot,Qwen3-8B,0.2526107044155186,0.20990740145131304,0.301488782006728,0.2046531411218031,0.190849871940309,0.28668678795533986
Zero-shot,DeepSeek-R1-0528-Qwen3-8B,0.1686841547843343,0.23942465199442908,0.34235544122581374,0.2517866251629941,0.2208710311359786,0.3161025430625203
Zero-shot,Mistral-Small-3.1-24B-Instruct-2503,0.2977581608767047,0.4222905699808759,0.42667694631307207,0.2220017011624611,0.31591442176080087,0.4762120928447795
Zero-shot,llama-3.1-nemotron-ultra-253b-v1,0.40494820248826324,0.3818455993232557,0.36712862152940295,0.23689645548423122,0.2784323650441026,0.4534031997645902
Zero-shot,DeepSeek-R1T-Chimera,0.37313253714352335,0.4319808088133822,0.4587025341376215,0.32057272042200446,0.36079818063863,0.4974511296048304
One-shot,Qwen3-8B,0.40239258002253964,0.4062015106243828,0.4048472551706219,0.38042517681145904,0.3280947681620153,0.5093214610931194
One-shot,DeepSeek-R1-0528-Qwen3-8B,0.2936794105791931,0.3687850247178972,0.38007209115254215,0.37105774491124155,0.31581956420274804,0.46295005334999784
One-shot,Mistral-Small-3.1-24B-Instruct-2503,0.3540745733145677,0.4847193679861832,0.5314018573067323,0.31324540309456117,0.336613773574825,0.5293296389422051
One-shot,llama-3.1-nemotron-ultra-253b-v1,0.42736776204668014,0.5009710683117529,0.49574094934689106,0.3479668364304016,0.3484437902012866,0.568856987242498
One-shot,DeepSeek-R1T-Chimera,0.38340760668020146,0.5353255599894025,0.5246064001547148,0.37593097450629775,0.4005500134065768,0.5605793392352505
Self-generated reference,Qwen3-8B,0.33099432752621283,0.3029717525422171,0.327913183845035,0.2862128723041709,0.2715432070448355,0.3876347848609465
Self-generated reference,DeepSeek-R1-0528-Qwen3-8B,0.2550224472496767,0.2442889359666507,0.2766135199048638,0.23691582222813512,0.23631741517881777,0.34248347565776494
Self-generated reference,Mistral-Small-3.1-24B-Instruct-2503,0.3521340301364525,0.37270066590034145,0.40481020733652306,0.24087344432618518,0.32150168813160895,0.4978208125381044
Self-generated reference,llama-3.1-nemotron-ultra-253b-v1,0.39651383347504743,0.35363928699517955,0.415685493528967,0.3066680603117632,0.3472887213565953,0.5069923056866675
Self-generated reference,DeepSeek-R1T-Chimera,0.4144121497774287,0.42601817876056924,0.4825867383747623,0.3572326256423558,0.35623952415118476,0.5296735548124805
